year,hires,terminations,net_change,net_change_percent
2000,118,16,102,86.44
2001,637,110,527,82.73
2002,620,103,517,83.39
2003,649,117,532,81.97
2004,664,104,560,84.34
2005,619,115,504,81.42
2006,639,114,525,82.16
2007,626,87,539,86.10
2008,629,84,545,86.65
2009,635,88,547,86.14
2010,603,91,512,84.91
2011,618,75,543,87.86
2012,617,81,536,86.87
2013,606,58,548,90.43
2014,617,56,561,90.92
2015,614,47,567,92.35
2016,647,57,590,91.19
2017,617,44,573,92.87
2018,635,36,599,94.33
2019,613,32,581,94.78
2020,596,24,572,95.97
